Batch Number,Prompt 1,Prompt 2,Prompt 3,Prompt 4
18,"A beautiful Waterfall, isometric, pixel art, city-building game style, no background, vibrant colors","A beautiful Rain Barrel, isometric, pixel art, city-building game style, no background, vibrant colors","A beautiful Compost Bin, isometric, pixel art, city-building game style, no background, vibrant colors","A beautiful Vegetable Patch, isometric, pixel art, city-building game style, no background, vibrant colors"
19,"A beautiful Herb Spiral, isometric, pixel art, city-building game style, no background, vibrant colors","A beautiful Raised Planter, isometric, pixel art, city-building game style, no background, vibrant colors","A beautiful Cactus Garden, isometric, pixel art, city-building game style, no background, vibrant colors","A beautiful Succulent Planter, isometric, pixel art, city-building game style, no background, vibrant colors"
20,"A beautiful Bamboo Grove, isometric, pixel art, city-building game style, no background, vibrant colors","A beautiful Bonsai Tree, isometric, pixel art, city-building game style, no background, vibrant colors","A beautiful Zen Garden, isometric, pixel art, city-building game style, no background, vibrant colors","A beautiful Sand Garden, isometric, pixel art, city-building game style, no background, vibrant colors"
21,"A beautiful Meditation Stone, isometric, pixel art, city-building game style, no background, vibrant colors","A beautiful Wind Chime, isometric, pixel art, city-building game style, no background, vibrant colors","A beautiful Weather Vane, isometric, pixel art, city-building game style, no background, vibrant colors","A beautiful Sundial, isometric, pixel art, city-building game style, no background, vibrant colors"
22,"A beautiful Bird Feeder, isometric, pixel art, city-building game style, no background, vibrant colors","A beautiful Rabbit Statue, isometric, pixel art, city-building game style, no background, vibrant colors","A beautiful Fox Statue, isometric, pixel art, city-building game style, no background, vibrant colors","A beautiful Turtle Statue, isometric, pixel art, city-building game style, no background, vibrant colors"
23,"A beautiful Frog Statue, isometric, pixel art, city-building game style, no background, vibrant colors","A beautiful Squirrel Statue, isometric, pixel art, city-building game style, no background, vibrant colors","A beautiful Deer Statue, isometric, pixel art, city-building game style, no background, vibrant colors","A beautiful Lion Statue, isometric, pixel art, city-building game style, no background, vibrant colors"
24,"A beautiful Eagle Statue, isometric, pixel art, city-building game style, no background, vibrant colors","A beautiful Owl Statue, isometric, pixel art, city-building game style, no background, vibrant colors","A beautiful Dog Statue, isometric, pixel art, city-building game style, no background, vibrant colors","A beautiful Cat Statue, isometric, pixel art, city-building game style, no background, vibrant colors"
25,"A beautiful Dolphin Statue, isometric, pixel art, city-building game style, no background, vibrant colors","A beautiful Whale Sculpture, isometric, pixel art, city-building game style, no background, vibrant colors","A beautiful Fish Pond, isometric, pixel art, city-building game style, no background, vibrant colors","A beautiful Water Lily, isometric, pixel art, city-building game style, no background, vibrant colors"
26,"A beautiful Reed Cluster, isometric, pixel art, city-building game style, no background, vibrant colors","A beautiful Marsh Grass, isometric, pixel art, city-building game style, no background, vibrant colors","A beautiful Wildflower Patch, isometric, pixel art, city-building game style, no background, vibrant colors","A beautiful Fern Cluster, isometric, pixel art, city-building game style, no background, vibrant colors"
27,"A beautiful Mossy Rock, isometric, pixel art, city-building game style, no background, vibrant colors","A beautiful Pebble Border, isometric, pixel art, city-building game style, no background, vibrant colors","A beautiful Log Pile, isometric, pixel art, city-building game style, no background, vibrant colors","A beautiful Fire Pit, isometric, pixel art, city-building game style, no background, vibrant colors"
28,"A beautiful BBQ Grill, isometric, pixel art, city-building game style, no background, vibrant colors","A beautiful Picnic Blanket, isometric, pixel art, city-building game style, no background, vibrant colors","A beautiful Hammock, isometric, pixel art, city-building game style, no background, vibrant colors","A beautiful Swing Set, isometric, pixel art, city-building game style, no background, vibrant colors"
29,"A beautiful Slide, isometric, pixel art, city-building game style, no background, vibrant colors","A beautiful Seesaw, isometric, pixel art, city-building game style, no background, vibrant colors","A beautiful Jungle Gym, isometric, pixel art, city-building game style, no background, vibrant colors","A beautiful Climbing Wall, isometric, pixel art, city-building game style, no background, vibrant colors"
30,"A beautiful Sandbox, isometric, pixel art, city-building game style, no background, vibrant colors","A beautiful Sandbox Toys, isometric, pixel art, city-building game style, no background, vibrant colors","A beautiful Sandbox Umbrella, isometric, pixel art, city-building game style, no background, vibrant colors","A beautiful Sandbox Fence, isometric, pixel art, city-building game style, no background, vibrant colors"
31,"A beautiful Sandbox Castle, isometric, pixel art, city-building game style, no background, vibrant colors","A beautiful Playground Tunnel, isometric, pixel art, city-building game style, no background, vibrant colors","A beautiful Playground Bridge, isometric, pixel art, city-building game style, no background, vibrant colors","A beautiful Playground Ladder, isometric, pixel art, city-building game style, no background, vibrant colors"
32,"A beautiful Playground Rope Net, isometric, pixel art, city-building game style, no background, vibrant colors","A beautiful Playground Spinner, isometric, pixel art, city-building game style, no background, vibrant colors","A beautiful Playground Merry-Go-Round, isometric, pixel art, city-building game style, no background, vibrant colors","A beautiful Playground Spring Rider, isometric, pixel art, city-building game style, no background, vibrant colors"
33,"A beautiful Playground Balance Beam, isometric, pixel art, city-building game style, no background, vibrant colors","A beautiful Playground Monkey Bars, isometric, pixel art, city-building game style, no background, vibrant colors","A beautiful Playground Fireman Pole, isometric, pixel art, city-building game style, no background, vibrant colors","A beautiful Playground Stepping Stones, isometric, pixel art, city-building game style, no background, vibrant colors"
34,"A beautiful Playground Hopscotch, isometric, pixel art, city-building game style, no background, vibrant colors","A beautiful Playground Chalk Art, isometric, pixel art, city-building game style, no background, vibrant colors","A beautiful Playground Basketball Hoop, isometric, pixel art, city-building game style, no background, vibrant colors","A beautiful Playground Soccer Goal, isometric, pixel art, city-building game style, no background, vibrant colors"
35,"A beautiful Playground Tetherball, isometric, pixel art, city-building game style, no background, vibrant colors","A beautiful Playground Kickball Base, isometric, pixel art, city-building game style, no background, vibrant colors","A beautiful Playground Baseball Diamond, isometric, pixel art, city-building game style, no background, vibrant colors","A beautiful Playground Batting Cage, isometric, pixel art, city-building game style, no background, vibrant colors"
36,"A beautiful Playground Scoreboard, isometric, pixel art, city-building game style, no background, vibrant colors","A beautiful Playground Bleachers, isometric, pixel art, city-building game style, no background, vibrant colors","A beautiful Playground Dugout, isometric, pixel art, city-building game style, no background, vibrant colors","A beautiful Playground Water Fountain, isometric, pixel art, city-building game style, no background, vibrant colors"
37,"A beautiful Playground Shade Sail, isometric, pixel art, city-building game style, no background, vibrant colors","A beautiful Playground Picnic Shelter, isometric, pixel art, city-building game style, no background, vibrant colors","A beautiful Playground Snack Stand, isometric, pixel art, city-building game style, no background, vibrant colors","A beautiful Playground Restroom, isometric, pixel art, city-building game style, no background, vibrant colors"
38,"A beautiful Playground Bike Rack, isometric, pixel art, city-building game style, no background, vibrant colors","A beautiful Playground Scooter Rack, isometric, pixel art, city-building game style, no background, vibrant colors","A beautiful Playground Skateboard Rack, isometric, pixel art, city-building game style, no background, vibrant colors","A beautiful Playground Rollerblade Rack, isometric, pixel art, city-building game style, no background, vibrant colors"
39,"A beautiful Playground Helmet Locker, isometric, pixel art, city-building game style, no background, vibrant colors","A beautiful Playground Lost & Found, isometric, pixel art, city-building game style, no background, vibrant colors","A beautiful Playground First Aid Station, isometric, pixel art, city-building game style, no background, vibrant colors","A beautiful Playground Information Board, isometric, pixel art, city-building game style, no background, vibrant colors"
40,"A beautiful Playground Map, isometric, pixel art, city-building game style, no background, vibrant colors","A beautiful Playground Rules Sign, isometric, pixel art, city-building game style, no background, vibrant colors","A beautiful Playground Welcome Sign, isometric, pixel art, city-building game style, no background, vibrant colors","A beautiful Playground Exit Sign, isometric, pixel art, city-building game style, no background, vibrant colors"
41,"A beautiful Playground Direction Sign, isometric, pixel art, city-building game style, no background, vibrant colors","A beautiful Playground Distance Marker, isometric, pixel art, city-building game style, no background, vibrant colors","A beautiful Playground Height Chart, isometric, pixel art, city-building game style, no background, vibrant colors","A beautiful Playground Growth Chart, isometric, pixel art, city-building game style, no background, vibrant colors"
42,"A beautiful Playground Birthday Board, isometric, pixel art, city-building game style, no background, vibrant colors","A beautiful Playground Achievement Board, isometric, pixel art, city-building game style, no background, vibrant colors","A beautiful Playground Star Chart, isometric, pixel art, city-building game style, no background, vibrant colors","A beautiful Playground Weather Station, isometric, pixel art, city-building game style, no background, vibrant colors"
43,"A beautiful Playground Rain Gauge, isometric, pixel art, city-building game style, no background, vibrant colors","A beautiful Playground Thermometer, isometric, pixel art, city-building game style, no background, vibrant colors","A beautiful Playground Wind Sock, isometric, pixel art, city-building game style, no background, vibrant colors","A beautiful Playground Barometer, isometric, pixel art, city-building game style, no background, vibrant colors"
44,"A beautiful Playground Anemometer, isometric, pixel art, city-building game style, no background, vibrant colors","A beautiful Playground Compass, isometric, pixel art, city-building game style, no background, vibrant colors","A beautiful Playground Globe, isometric, pixel art, city-building game style, no background, vibrant colors","A beautiful Playground Solar System Model, isometric, pixel art, city-building game style, no background, vibrant colors"
45,"A beautiful Playground Rocket Sculpture, isometric, pixel art, city-building game style, no background, vibrant colors","A beautiful Playground Spaceship Model, isometric, pixel art, city-building game style, no background, vibrant colors","A beautiful Playground Alien Statue, isometric, pixel art, city-building game style, no background, vibrant colors","A beautiful Playground Astronaut Statue, isometric, pixel art, city-building game style, no background, vibrant colors"
46,"A beautiful Playground Moon Rock, isometric, pixel art, city-building game style, no background, vibrant colors","A beautiful Playground Meteorite, isometric, pixel art, city-building game style, no background, vibrant colors","A beautiful Playground Satellite Dish, isometric, pixel art, city-building game style, no background, vibrant colors","A beautiful Playground Observatory Dome, isometric, pixel art, city-building game style, no background, vibrant colors"
47,"A beautiful Playground Planetarium, isometric, pixel art, city-building game style, no background, vibrant colors","A beautiful Playground Star Projector, isometric, pixel art, city-building game style, no background, vibrant colors","A beautiful Playground Telescope, isometric, pixel art, city-building game style, no background, vibrant colors","A beautiful Playground Binoculars, isometric, pixel art, city-building game style, no background, vibrant colors"
48,"A beautiful Playground Periscope, isometric, pixel art, city-building game style, no background, vibrant colors","A beautiful Playground Kaleidoscope, isometric, pixel art, city-building game style, no background, vibrant colors","A beautiful Playground Prism, isometric, pixel art, city-building game style, no background, vibrant colors","A beautiful Playground Rainbow Arch, isometric, pixel art, city-building game style, no background, vibrant colors"
49,"A beautiful Playground Cloud Bench, isometric, pixel art, city-building game style, no background, vibrant colors","A beautiful Playground Sun Dial, isometric, pixel art, city-building game style, no background, vibrant colors","A beautiful Playground Moon Bench, isometric, pixel art, city-building game style, no background, vibrant colors","A beautiful Playground Star Bench, isometric, pixel art, city-building game style, no background, vibrant colors"
50,"A beautiful Playground Galaxy Mural, isometric, pixel art, city-building game style, no background, vibrant colors","A beautiful Playground Nebula Sculpture, isometric, pixel art, city-building game style, no background, vibrant colors","A beautiful Playground Comet Sculpture, isometric, pixel art, city-building game style, no background, vibrant colors","A beautiful Playground Shooting Star, isometric, pixel art, city-building game style, no background, vibrant colors"
51,"A beautiful Playground Meteor Shower, isometric, pixel art, city-building game style, no background, vibrant colors","A beautiful Playground Aurora Lights, isometric, pixel art, city-building game style, no background, vibrant colors","A beautiful Playground Northern Lights, isometric, pixel art, city-building game style, no background, vibrant colors","A beautiful Playground Solar Flare, isometric, pixel art, city-building game style, no background, vibrant colors"
52,"A beautiful Playground Eclipse Model, isometric, pixel art, city-building game style, no background, vibrant colors","A beautiful Playground Sunflower Maze, isometric, pixel art, city-building game style, no background, vibrant colors","A beautiful Playground Corn Maze, isometric, pixel art, city-building game style, no background, vibrant colors","A beautiful Playground Hay Bale, isometric, pixel art, city-building game style, no background, vibrant colors"
53,"A beautiful Playground Scarecrow, isometric, pixel art, city-building game style, no background, vibrant colors","A beautiful Playground Pumpkin Patch, isometric, pixel art, city-building game style, no background, vibrant colors","A beautiful Playground Apple Tree, isometric, pixel art, city-building game style, no background, vibrant colors","A beautiful Playground Orchard Basket, isometric, pixel art, city-building game style, no background, vibrant colors"
54,"A beautiful Playground Fruit Stand, isometric, pixel art, city-building game style, no background, vibrant colors","A beautiful Playground Veggie Stand, isometric, pixel art, city-building game style, no background, vibrant colors","A beautiful Playground Flower Cart, isometric, pixel art, city-building game style, no background, vibrant colors","A beautiful Playground Seed Packet, isometric, pixel art, city-building game style, no background, vibrant colors"
55,"A beautiful Playground Watering Can, isometric, pixel art, city-building game style, no background, vibrant colors","A beautiful Playground Garden Tools, isometric, pixel art, city-building game style, no background, vibrant colors","A beautiful Playground Potting Bench, isometric, pixel art, city-building game style, no background, vibrant colors","A beautiful Playground Greenhouse, isometric, pixel art, city-building game style, no background, vibrant colors"
56,"A beautiful Playground Potting Shed, isometric, pixel art, city-building game style, no background, vibrant colors","A beautiful Playground Tool Shed, isometric, pixel art, city-building game style, no background, vibrant colors","A beautiful Playground Wheelbarrow, isometric, pixel art, city-building game style, no background, vibrant colors","A beautiful Playground Garden Hose, isometric, pixel art, city-building game style, no background, vibrant colors"
57,"A beautiful Playground Sprinkler, isometric, pixel art, city-building game style, no background, vibrant colors","A beautiful Playground Rain Chain, isometric, pixel art, city-building game style, no background, vibrant colors","A beautiful Playground Rain Garden, isometric, pixel art, city-building game style, no background, vibrant colors","A beautiful Playground Butterfly Garden, isometric, pixel art, city-building game style, no background, vibrant colors"
58,"A beautiful Playground Pollinator Garden, isometric, pixel art, city-building game style, no background, vibrant colors","A beautiful Playground Bird Garden, isometric, pixel art, city-building game style, no background, vibrant colors","A beautiful Playground Squirrel Garden, isometric, pixel art, city-building game style, no background, vibrant colors","A beautiful Playground Rabbit Garden, isometric, pixel art, city-building game style, no background, vibrant colors"
59,"A beautiful Playground Fairy Garden, isometric, pixel art, city-building game style, no background, vibrant colors","A beautiful Playground Gnome Garden, isometric, pixel art, city-building game style, no background, vibrant colors","A beautiful Playground Dragon Garden, isometric, pixel art, city-building game style, no background, vibrant colors","A beautiful Playground Unicorn Garden, isometric, pixel art, city-building game style, no background, vibrant colors"
60,"A beautiful Playground Mermaid Garden, isometric, pixel art, city-building game style, no background, vibrant colors","A beautiful Playground Pirate Garden, isometric, pixel art, city-building game style, no background, vibrant colors","A beautiful Playground Treasure Chest, isometric, pixel art, city-building game style, no background, vibrant colors","A beautiful Playground Pirate Ship, isometric, pixel art, city-building game style, no background, vibrant colors"
61,"A beautiful Playground Anchor, isometric, pixel art, city-building game style, no background, vibrant colors","A beautiful Playground Ship Wheel, isometric, pixel art, city-building game style, no background, vibrant colors","A beautiful Playground Lifebuoy, isometric, pixel art, city-building game style, no background, vibrant colors","A beautiful Playground Lighthouse, isometric, pixel art, city-building game style, no background, vibrant colors"
62,"A beautiful Playground Beach Umbrella, isometric, pixel art, city-building game style, no background, vibrant colors","A beautiful Playground Beach Chair, isometric, pixel art, city-building game style, no background, vibrant colors","A beautiful Playground Beach Towel, isometric, pixel art, city-building game style, no background, vibrant colors","A beautiful Playground Sandcastle, isometric, pixel art, city-building game style, no background, vibrant colors"
63,"A beautiful Playground Seashell, isometric, pixel art, city-building game style, no background, vibrant colors","A beautiful Playground Starfish, isometric, pixel art, city-building game style, no background, vibrant colors","A beautiful Playground Crab, isometric, pixel art, city-building game style, no background, vibrant colors","A beautiful Playground Dolphin, isometric, pixel art, city-building game style, no background, vibrant colors"
64,"A beautiful Playground Whale, isometric, pixel art, city-building game style, no background, vibrant colors","A beautiful Playground Shark, isometric, pixel art, city-building game style, no background, vibrant colors","A beautiful Playground Octopus, isometric, pixel art, city-building game style, no background, vibrant colors","A beautiful Playground Jellyfish, isometric, pixel art, city-building game style, no background, vibrant colors"
65,"A beautiful Playground Coral, isometric, pixel art, city-building game style, no background, vibrant colors","A beautiful Playground Seaweed, isometric, pixel art, city-building game style, no background, vibrant colors","A beautiful Playground Message Bottle, isometric, pixel art, city-building game style, no background, vibrant colors","A beautiful Playground Driftwood, isometric, pixel art, city-building game style, no background, vibrant colors"
66,"A beautiful Playground Surfboard, isometric, pixel art, city-building game style, no background, vibrant colors","A beautiful Playground Boogie Board, isometric, pixel art, city-building game style, no background, vibrant colors","A beautiful Playground Paddleboard, isometric, pixel art, city-building game style, no background, vibrant colors","A beautiful Playground Kayak, isometric, pixel art, city-building game style, no background, vibrant colors"
67,"A beautiful Playground Canoe, isometric, pixel art, city-building game style, no background, vibrant colors","A beautiful Playground Rowboat, isometric, pixel art, city-building game style, no background, vibrant colors","A beautiful Playground Sailboat, isometric, pixel art, city-building game style, no background, vibrant colors","A beautiful Playground Fishing Rod, isometric, pixel art, city-building game style, no background, vibrant colors"
68,"A beautiful Playground Fishing Net, isometric, pixel art, city-building game style, no background, vibrant colors","A beautiful Playground Fish Basket, isometric, pixel art, city-building game style, no background, vibrant colors","A beautiful Playground Fish Crate, isometric, pixel art, city-building game style, no background, vibrant colors","A beautiful Playground Fish Barrel, isometric, pixel art, city-building game style, no background, vibrant colors"
69,"A beautiful Playground Fish Market, isometric, pixel art, city-building game style, no background, vibrant colors","A beautiful Playground Lobster Trap, isometric, pixel art, city-building game style, no background, vibrant colors","A beautiful Playground Crab Pot, isometric, pixel art, city-building game style, no background, vibrant colors","A beautiful Playground Oyster Basket, isometric, pixel art, city-building game style, no background, vibrant colors"
70,"A beautiful Playground Pearl, isometric, pixel art, city-building game style, no background, vibrant colors","A beautiful Playground Clam Shell, isometric, pixel art, city-building game style, no background, vibrant colors","A beautiful Playground Sand Dollar, isometric, pixel art, city-building game style, no background, vibrant colors","A beautiful Playground Sea Glass, isometric, pixel art, city-building game style, no background, vibrant colors"
71,"A beautiful Playground Beach Ball, isometric, pixel art, city-building game style, no background, vibrant colors","A beautiful Playground Volleyball Net, isometric, pixel art, city-building game style, no background, vibrant colors","A beautiful Playground Frisbee, isometric, pixel art, city-building game style, no background, vibrant colors","A beautiful Playground Kite, isometric, pixel art, city-building game style, no background, vibrant colors"
72,"A beautiful Playground Pinwheel, isometric, pixel art, city-building game style, no background, vibrant colors","A beautiful Playground Bubble Wand, isometric, pixel art, city-building game style, no background, vibrant colors","A beautiful Playground Hula Hoop, isometric, pixel art, city-building game style, no background, vibrant colors","A beautiful Playground Jump Rope, isometric, pixel art, city-building game style, no background, vibrant colors"
73,"A beautiful Playground Bean Bag Toss, isometric, pixel art, city-building game style, no background, vibrant colors","A beautiful Playground Horseshoe Pit, isometric, pixel art, city-building game style, no background, vibrant colors","A beautiful Playground Cornhole Board, isometric, pixel art, city-building game style, no background, vibrant colors","A beautiful Playground Ladder Toss, isometric, pixel art, city-building game style, no background, vibrant colors"
74,"A beautiful Playground Bocce Court, isometric, pixel art, city-building game style, no background, vibrant colors","A beautiful Playground Croquet Set, isometric, pixel art, city-building game style, no background, vibrant colors","A beautiful Playground Mini Golf Hole, isometric, pixel art, city-building game style, no background, vibrant colors","A beautiful Playground Golf Flag, isometric, pixel art, city-building game style, no background, vibrant colors"
75,"A beautiful Playground Golf Ball, isometric, pixel art, city-building game style, no background, vibrant colors","A beautiful Playground Golf Club, isometric, pixel art, city-building game style, no background, vibrant colors","A beautiful Playground Golf Cart, isometric, pixel art, city-building game style, no background, vibrant colors","A beautiful Playground Scorecard, isometric, pixel art, city-building game style, no background, vibrant colors"
76,"A beautiful Playground Trophy, isometric, pixel art, city-building game style, no background, vibrant colors","A beautiful Playground Medal, isometric, pixel art, city-building game style, no background, vibrant colors","A beautiful Playground Ribbon, isometric, pixel art, city-building game style, no background, vibrant colors","A beautiful Playground Certificate, isometric, pixel art, city-building game style, no background, vibrant colors"
77,"A beautiful Playground Plaque, isometric, pixel art, city-building game style, no background, vibrant colors","A beautiful Playground Banner, isometric, pixel art, city-building game style, no background, vibrant colors","A beautiful Playground Streamers, isometric, pixel art, city-building game style, no background, vibrant colors","A beautiful Golden Fountain, isometric, pixel art, city-building game style, no background, vibrant colors"
78,"A beautiful Crystal Statue, isometric, pixel art, city-building game style, no background, vibrant colors","A beautiful Neon Sign, isometric, pixel art, city-building game style, no background, vibrant colors","A beautiful Rainbow Arch, isometric, pixel art, city-building game style, no background, vibrant colors","A beautiful Diamond Bench, isometric, pixel art, city-building game style, no background, vibrant colors"
79,"A beautiful Luxury Lamp Post, isometric, pixel art, city-building game style, no background, vibrant colors","A beautiful Animated Billboard, isometric, pixel art, city-building game style, no background, vibrant colors","A beautiful Hologram Tree, isometric, pixel art, city-building game style, no background, vibrant colors","A beautiful Platinum Mailbox, isometric, pixel art, city-building game style, no background, vibrant colors"
80,"A beautiful Designer Flower Bed, isometric, pixel art, city-building game style, no background, vibrant colors","A beautiful Marble Path, isometric, pixel art, city-building game style, no background, vibrant colors","A beautiful Ornate Gazebo, isometric, pixel art, city-building game style, no background, vibrant colors","A beautiful Animated Water Feature, isometric, pixel art, city-building game style, no background, vibrant colors"
81,"A beautiful Enchanted Lantern, isometric, pixel art, city-building game style, no background, vibrant colors","A beautiful Royal Banner, isometric, pixel art, city-building game style, no background, vibrant colors","A beautiful Animated Waterfall, isometric, pixel art, city-building game style, no background, vibrant colors","A beautiful Floating Lantern, isometric, pixel art, city-building game style, no background, vibrant colors"
82,"A beautiful Enchanted Tree, isometric, pixel art, city-building game style, no background, vibrant colors","A beautiful Celestial Globe, isometric, pixel art, city-building game style, no background, vibrant colors","A beautiful Starlight Archway, isometric, pixel art, city-building game style, no background, vibrant colors","A beautiful Rose Gold Planter, isometric, pixel art, city-building game style, no background, vibrant colors"
83,"A beautiful Illuminated Topiary, isometric, pixel art, city-building game style, no background, vibrant colors","A beautiful Animated Butterfly Swarm, isometric, pixel art, city-building game style, no background, vibrant colors","A beautiful Magic Portal, isometric, pixel art, city-building game style, no background, vibrant colors","A beautiful Glowing Mushroom Circle, isometric, pixel art, city-building game style, no background, vibrant colors"
84,"A beautiful Aurora Borealis Projector, isometric, pixel art, city-building game style, no background, vibrant colors","A beautiful Animated Firefly Lamp, isometric, pixel art, city-building game style, no background, vibrant colors","A beautiful Crystal Chandelier Tree, isometric, pixel art, city-building game style, no background, vibrant colors","A beautiful Animated Rainbow Fountain, isometric, pixel art, city-building game style, no background, vibrant colors"
85,"A beautiful Golden Bird Bath, isometric, pixel art, city-building game style, no background, vibrant colors","A beautiful Silver Wind Chime, isometric, pixel art, city-building game style, no background, vibrant colors","A beautiful Animated Fairy Circle, isometric, pixel art, city-building game style, no background, vibrant colors","A beautiful Prismatic Mosaic, isometric, pixel art, city-building game style, no background, vibrant colors"
86,"A beautiful Animated Star Fountain, isometric, pixel art, city-building game style, no background, vibrant colors","A beautiful Animated Shooting Star, isometric, pixel art, city-building game style, no background, vibrant colors","A beautiful Animated Meteor Shower, isometric, pixel art, city-building game style, no background, vibrant colors","A beautiful Animated Cloud Swing, isometric, pixel art, city-building game style, no background, vibrant colors"
